GEOID,county,population,white,black,hisp,ai,deaths.male,pop.at.risk.male,pop.at.risk.male.se,deaths.female,pop.at.risk.female,pop.at.risk.female.se,ICE,ICE.se,income,income.se,college,college.se,insurance,insurance.se,rate.male,rate.female
29045,"Clark County, Missouri",6800,97.02941176470588,0.3382352941176471,0.19117647058823528,0.35294117647058826,30,2636,76.48529270389177,20,2466,46.9041575982343,-0.09449354180829368,0.020582739365485755,47955,1945.288753799392,13.5,1.2765957446808511,84.8,2.006079027355623,0.011380880121396054,0.008110300081103
36041,"Hamilton County, New York",4575,95.36612021857924,0.8087431693989071,1.5519125683060109,0.34972677595628415,22,2348,69.72266489456639,13,2382,41.41255848169732,-0.03469750889679715,0.029275233539866243,57552,1600.6079027355622,19.3,2.2492401215805473,93.2,1.458966565349544,0.009369676320272573,0.0054575986565911
36045,"Jefferson County, New York",114448,81.81532224241577,5.637494757444429,7.41384733678177,0.37309520480917097,331,29603,187.41998292604768,198,31076,170.2534874826357,-0.05748029676196639,0.008938460391317597,52268,928.8753799392097,22.3,0.60790273556231,94,0.547112462006079,0.011181299192649393,0.0063714763804865494
36051,"Livingston County, New York",63907,90.93213575977592,2.6538563850595396,3.4784921839548093,0.17994898837373058,211,23348,178.24491577601873,119,23462,198.18236551217166,-0.047492105155231105,0.011176623738340096,56071,1139.8176291793313,25.4,0.6686930091185411,96.7,0.48632218844984804,0.00903717663183142,0.005072031369874691
36055,"Monroe County, New York",744248,70.82679429437499,14.472192065010589,8.549703862153475,0.16741731250873365,2208,242757,184.24168909342967,1526,264035,121.0681626192452,-7.480152661604542e-4,0.003424622351244805,57479,446.20060790273556,37.7,0.303951367781155,96.2,0.12158054711246201,0.009095515268354774,0.005779536803832825
36059,"Nassau County, New York",1356564,60.77302655827517,11.148460374888321,16.62885053709224,0.11374325133204184,3191,460946,289.48877353016644,2040,497652,60.01041576259908,0.3723898302421681,0.0033224099672243277,111240,717.3252279635258,45.2,0.24316109422492402,95.2,0.12158054711246201,0.0069227197979806745,0.0040992500783680165
36063,"Niagara County, New York",211704,85.73999546536673,7.033405131693308,2.8596531005554926,1.0316290669992065,964,80913,106.1602562167217,599,83745,6.892024376045112,-0.03971160059403022,0.0063424654700991664,54085,770.8206686930091,23.8,0.42553191489361697,96.4,0.182370820668693,0.011914031119844772,0.007152665830795869
36071,"Orange County, New York",378227,64.93587184415708,9.847525427851528,20.015757732790096,0.21547906415988283,1032,117032,81.62413858657254,697,119924,149.8540957064571,0.15171641320123683,0.00670000175319792,76716,868.693009118541,29.8,0.364741641337386,94.8,0.182370820668693,0.008818101032196322,0.0058120142757079486
36073,"Orleans County, New York",41175,86.51366120218579,5.967213114754099,4.762598664238008,0.36672738312082576,158,15478,194.74021156402188,111,15605,175.28191578140627,-0.05926651564317639,0.012694714630058473,51843,1322.1884498480242,15.9,0.790273556231003,94.5,0.60790273556231,0.01020803721411035,0.007113104774110862
36075,"Oswego County, New York",119104,94.21513970983342,0.9286002149382052,2.5146090811391724,0.1393739924771628,468,43498,170.73005007906488,309,42222,222.5365138578386,-0.04579423010079944,0.00877829316432611,53597,842.5531914893617,18.6,0.547112462006079,95,0.303951367781155,0.010759115361625823,0.007318459570839846
