GEOID,population,white,black,hisp,ai,income,income.se,college,college.se,insurance,insurance.se
55079003600,2084,7.389635316698657,82.24568138195778,7.053742802303263,1.6314779270633397,33714,4203.647416413374,18.8,3.8905775075987843,92.2,2.370820668693009
55079008900,1236,5.9870550161812295,81.71521035598705,4.207119741100324,0,23125,4057.7507598784196,8.3,3.768996960486322,92.6,2.492401215805471
55079011200,2297,74.88027862429256,10.013060513713539,7.488027862429256,0,55057,6606.686930091186,57.7,4.924012158054711,90.2,2.613981762917933
55079019500,3444,84.81416957026713,0.05807200929152149,10.336817653890824,0.2032520325203252,69071,5712.462006079028,21.6,3.768996960486322,96.5,1.1550151975683889
55079120101,4158,79.96632996632997,2.3328523328523327,4.761904761904762,1.4670514670514672,69833,4165.349544072948,41.2,3.161094224924012,96.3,1.21580547112462
55079186300,3811,46.1033849383364,41.327735502492786,6.612437680398846,0.20991865652059827,63036,7827.355623100304,30.6,3.100303951367781,92.6,2.3100303951367778
55079170400,3093,86.67959909473004,3.103782735208535,6.175234400258649,1.2285806660200453,73586,5605.47112462006,22.7,3.100303951367781,97.4,1.1550151975683889
55079150303,4770,90.12578616352201,1.4046121593291405,1.4884696016771488,0.6918238993710691,74057,5873.556231003039,42.8,3.6474164133738602,96.4,1.8237082066869301
55079016900,3575,16.95104895104895,2.5454545454545454,77.73426573426573,2.4055944055944054,21622,2948.3282674772036,1.1,1.033434650455927,67.6,6.382978723404255
55079021100,1454,80.81155433287483,0,14.236588720770289,0.4126547455295736,56712,4859.574468085107,27,4.133738601823708,95.3,1.6413373860182372
55079080200,3598,88.35464146748194,2.028904947192885,3.3907726514730405,0.3057254030016676,69464,6339.817629179332,66.6,3.6474164133738602,95.4,1.6413373860182372
55079090600,4605,80.71661237785017,6.3409337676438655,5.12486427795874,0,68603,8449.240121580548,49.4,4.437689969604863,97.3,1.1550151975683889
55079090800,2345,92.45202558635394,1.9189765458422174,0.3837953091684435,0,106875,16149.544072948329,73.9,3.6474164133738602,96.2,1.884498480243161
55079091300,3772,92.44432661717921,0.10604453870625663,2.9692470837751856,0,103235,8170.820668693009,65.1,4.012158054711246,97.4,0.9726443768996961
55079100700,3225,77.82945736434108,1.0852713178294573,14.976744186046512,1.7054263565891472,61808,2730.091185410334,19.8,3.525835866261398,90.5,4.376899696048632
